humEns,mouseEns,hgnc_symbol
ENSG00000101665,ENSMUSG00000025880,SMAD7
ENSG00000101773,ENSMUSG00000041238,RBBP8
ENSG00000101782,ENSMUSG00000024404,RIOK3
ENSG00000101856,ENSMUSG00000006373,PGRMC1
ENSG00000101911,ENSMUSG00000025742,PRPS2
ENSG00000101916,ENSMUSG00000040522,TLR8
ENSG00000101928,ENSMUSG00000023074,MOSPD1
ENSG00000101945,ENSMUSG00000039231,SUV39H1
ENSG00000101974,ENSMUSG00000062949,ATP11C
ENSG00000102003,ENSMUSG00000031144,SYP
ENSG00000102010,ENSMUSG00000031377,BMX
ENSG00000102038,ENSMUSG00000031099,SMARCA1
ENSG00000102053,ENSMUSG00000035045,ZC3H12B
ENSG00000102057,ENSMUSG00000009731,KCND1
ENSG00000102081,ENSMUSG00000000838,FMR1
ENSG00000102109,ENSMUSG00000039278,PCSK1N
ENSG00000102174,ENSMUSG00000057457,PHEX
ENSG00000102226,ENSMUSG00000031066,USP11
ENSG00000102230,ENSMUSG00000035246,PCYT1B
ENSG00000102245,ENSMUSG00000031132,CD40LG
ENSG00000102312,ENSMUSG00000031169,PORCN
ENSG00000102349,ENSMUSG00000041649,KLF8
ENSG00000102362,ENSMUSG00000031255,SYTL4
ENSG00000102524,ENSMUSG00000031497,TNFSF13B
ENSG00000102547,ENSMUSG00000021981,CAB39L
ENSG00000102554,ENSMUSG00000005148,KLF5
ENSG00000102580,ENSMUSG00000022136,DNAJC3
ENSG00000102595,ENSMUSG00000042104,UGGT2
ENSG00000102781,ENSMUSG00000041298,KATNAL1
ENSG00000102786,ENSMUSG00000035161,INTS6
ENSG00000102804,ENSMUSG00000022010,TSC22D1
ENSG00000102837,ENSMUSG00000022026,OLFM4
ENSG00000102897,ENSMUSG00000030922,LYRM1
ENSG00000102904,ENSMUSG00000031893,TSNAXIP1
ENSG00000102921,ENSMUSG00000031652,N4BP1
ENSG00000102934,ENSMUSG00000031775,PLLP
ENSG00000102977,ENSMUSG00000038000,ACD
ENSG00000102981,ENSMUSG00000005699,PARD6A
ENSG00000103005,ENSMUSG00000031792,USB1
ENSG00000103024,ENSMUSG00000073435,NME3
ENSG00000103056,ENSMUSG00000031906,SMPD3
ENSG00000103148,ENSMUSG00000020289,NPRL3
ENSG00000103184,ENSMUSG00000091712,SEC14L5
ENSG00000103194,ENSMUSG00000031826,USP10
ENSG00000103196,ENSMUSG00000031825,CRISPLD2
ENSG00000103227,ENSMUSG00000002279,LMF1
ENSG00000103253,ENSMUSG00000061046,HAGHL
ENSG00000103260,ENSMUSG00000002274,METRN
ENSG00000103264,ENSMUSG00000052934,FBXO31
ENSG00000103313,ENSMUSG00000022534,MEFV
ENSG00000103326,ENSMUSG00000037326,CAPN15
ENSG00000103335,ENSMUSG00000014444,PIEZO1
ENSG00000103415,ENSMUSG00000004070,HMOX2
ENSG00000103485,ENSMUSG00000030674,QPRT
ENSG00000103489,ENSMUSG00000030657,XYLT1
ENSG00000103495,ENSMUSG00000030678,MAZ
ENSG00000103528,ENSMUSG00000058420,SYT17
ENSG00000103540,ENSMUSG00000033904,CCP110
ENSG00000103569,ENSMUSG00000032204,AQP9
ENSG00000103642,ENSMUSG00000032370,LACTB
ENSG00000103647,ENSMUSG00000041729,CORO2B
ENSG00000103742,ENSMUSG00000032816,IGDCC4
ENSG00000103852,ENSMUSG00000030555,TTC23
ENSG00000103855,ENSMUSG00000035914,CD276
ENSG00000103942,ENSMUSG00000025813,HOMER2
ENSG00000103994,ENSMUSG00000027288,ZNF106
ENSG00000104043,ENSMUSG00000060131,ATP8B4
ENSG00000104047,ENSMUSG00000023330,DTWD1
ENSG00000104093,ENSMUSG00000041268,DMXL2
ENSG00000104164,ENSMUSG00000005804,BLOC1S6
ENSG00000104219,ENSMUSG00000039470,ZDHHC2
ENSG00000104290,ENSMUSG00000007989,FZD3
ENSG00000104312,ENSMUSG00000041135,RIPK2
ENSG00000104320,ENSMUSG00000028224,NBN
ENSG00000104325,ENSMUSG00000028223,DECR1
ENSG00000104341,ENSMUSG00000022257,LAPTM4B
ENSG00000104343,ENSMUSG00000025939,UBE2W
ENSG00000104375,ENSMUSG00000022329,STK3
ENSG00000104388,ENSMUSG00000047187,RAB2A
ENSG00000104412,ENSMUSG00000022337,EMC2
ENSG00000104490,ENSMUSG00000051359,NCALD
ENSG00000104497,ENSMUSG00000027534,SNX16
ENSG00000104518,ENSMUSG00000022575,GSDMD
ENSG00000104626,ENSMUSG00000031527,ERI1
ENSG00000104714,ENSMUSG00000051978,ERICH1
ENSG00000104731,ENSMUSG00000040263,KLHDC4
ENSG00000104763,ENSMUSG00000031591,ASAH1
ENSG00000104783,ENSMUSG00000054342,KCNN4
ENSG00000104805,ENSMUSG00000030824,NUCB1
ENSG00000104814,ENSMUSG00000037337,MAP4K1
ENSG00000104833,ENSMUSG00000062591,TUBB4A
ENSG00000104835,ENSMUSG00000070699,SARS2
ENSG00000104856,ENSMUSG00000002983,RELB
ENSG00000104863,ENSMUSG00000003872,LIN7B
ENSG00000104884,ENSMUSG00000030400,ERCC2
ENSG00000104892,ENSMUSG00000040714,KLC3
ENSG00000104907,ENSMUSG00000001909,TRMT1
ENSG00000104921,ENSMUSG00000005540,FCER2
ENSG00000104936,ENSMUSG00000030409,DMPK
ENSG00000104983,ENSMUSG00000074358,CCDC61
ENSG00000105011,ENSMUSG00000005470,ASF1B
ENSG00000105048,ENSMUSG00000064179,TNNT1
ENSG00000105088,ENSMUSG00000032172,OLFM2
ENSG00000105122,ENSMUSG00000052142,RASAL3
ENSG00000105193,ENSMUSG00000037563,RPS16
ENSG00000105202,ENSMUSG00000046865,FBL
ENSG00000105204,ENSMUSG00000002409,DYRK1B
ENSG00000105220,ENSMUSG00000036427,GPI
ENSG00000105246,ENSMUSG00000003206,EBI3
ENSG00000105270,ENSMUSG00000013921,CLIP3
ENSG00000105278,ENSMUSG00000034949,ZFR2
ENSG00000105298,ENSMUSG00000034889,CACTIN
ENSG00000105339,ENSMUSG00000036661,DENND3
ENSG00000105355,ENSMUSG00000024197,PLIN3
ENSG00000105364,ENSMUSG00000003299,MRPL4
ENSG00000105369,ENSMUSG00000003379,CD79A
ENSG00000105370,ENSMUSG00000118560,LIM2
ENSG00000105372,ENSMUSG00000040952,RPS19
ENSG00000105374,ENSMUSG00000004612,NKG7
ENSG00000105402,ENSMUSG00000006024,NAPA
ENSG00000105409,ENSMUSG00000040907,ATP1A3
ENSG00000105426,ENSMUSG00000013236,PTPRS
ENSG00000105429,ENSMUSG00000045039,MEGF8
ENSG00000105447,ENSMUSG00000053801,GRWD1
ENSG00000105486,ENSMUSG00000056394,LIG1
ENSG00000105509,ENSMUSG00000003665,HAS1
ENSG00000105516,ENSMUSG00000059824,DBP
ENSG00000105610,ENSMUSG00000054191,KLF1
ENSG00000105639,ENSMUSG00000031805,JAK3
ENSG00000105640,ENSMUSG00000045128,RPL18A
ENSG00000105655,ENSMUSG00000019139,ISYNA1
ENSG00000105662,ENSMUSG00000003575,CRTC1
ENSG00000105699,ENSMUSG00000001247,LSR
ENSG00000105701,ENSMUSG00000019428,FKBP8
ENSG00000105707,ENSMUSG00000001249,HPN
ENSG00000105711,ENSMUSG00000019194,SCN1B
ENSG00000105717,ENSMUSG00000031860,PBX4
ENSG00000105732,ENSMUSG00000045252,ZNF574
ENSG00000105767,ENSMUSG00000054793,CADM4
ENSG00000105808,ENSMUSG00000004952,RASA4
ENSG00000105829,ENSMUSG00000032757,BET1
ENSG00000105835,ENSMUSG00000020572,NAMPT
ENSG00000105854,ENSMUSG00000032667,PON2
ENSG00000105855,ENSMUSG00000025321,ITGB8
ENSG00000105856,ENSMUSG00000002996,HBP1
ENSG00000105887,ENSMUSG00000029840,MTPN
ENSG00000105939,ENSMUSG00000029826,ZC3HAV1
ENSG00000105948,ENSMUSG00000056832,TTC26
ENSG00000105967,ENSMUSG00000029553,TFEC
ENSG00000105971,ENSMUSG00000000058,CAV2
ENSG00000106018,ENSMUSG00000011171,VIPR2
ENSG00000106034,ENSMUSG00000062980,CPED1
ENSG00000106052,ENSMUSG00000004535,TAX1BP1
ENSG00000106066,ENSMUSG00000052955,CPVL
ENSG00000106070,ENSMUSG00000020176,GRB10
ENSG00000106080,ENSMUSG00000038074,FKBP14
ENSG00000106268,ENSMUSG00000036639,NUDT1
ENSG00000106333,ENSMUSG00000029718,PCOLCE
ENSG00000106351,ENSMUSG00000029722,AGFG2
ENSG00000106366,ENSMUSG00000037411,SERPINE1
ENSG00000106392,ENSMUSG00000042460,C1GALT1
ENSG00000106537,ENSMUSG00000020577,TSPAN13
ENSG00000106588,ENSMUSG00000015671,PSMA2
ENSG00000106605,ENSMUSG00000001999,BLVRA
ENSG00000106608,ENSMUSG00000049680,URGCP
ENSG00000106624,ENSMUSG00000020473,AEBP1
ENSG00000106628,ENSMUSG00000020471,POLD2
ENSG00000106683,ENSMUSG00000029674,LIMK1
ENSG00000106772,ENSMUSG00000039126,PRUNE2
ENSG00000106780,ENSMUSG00000039270,MEGF9
ENSG00000106799,ENSMUSG00000007613,TGFBR1
ENSG00000106804,ENSMUSG00000026874,C5
ENSG00000106853,ENSMUSG00000028378,PTGR1
ENSG00000106991,ENSMUSG00000026814,ENG
ENSG00000107020,ENSMUSG00000016495,PLGRKT
ENSG00000107130,ENSMUSG00000062661,NCS1
ENSG00000107147,ENSMUSG00000058740,KCNT1
ENSG00000107201,ENSMUSG00000040296,RIGI
ENSG00000107263,ENSMUSG00000039844,RAPGEF1
ENSG00000107281,ENSMUSG00000015094,NPDC1
ENSG00000107317,ENSMUSG00000015090,PTGDS
ENSG00000107341,ENSMUSG00000036241,UBE2R2
ENSG00000107404,ENSMUSG00000029071,DVL1
ENSG00000107485,ENSMUSG00000015619,GATA3
ENSG00000107566,ENSMUSG00000025198,ERLIN1
ENSG00000107611,ENSMUSG00000026726,CUBN
ENSG00000107614,ENSMUSG00000026723,TRDMT1
ENSG00000107742,ENSMUSG00000058297,SPOCK2
ENSG00000107745,ENSMUSG00000020111,MICU1
ENSG00000107796,ENSMUSG00000035783,ACTA2
ENSG00000107864,ENSMUSG00000039652,CPEB3
ENSG00000107954,ENSMUSG00000006435,NEURL1
ENSG00000108061,ENSMUSG00000024976,SHOC2
ENSG00000108107,ENSMUSG00000030432,RPL28
ENSG00000108298,ENSMUSG00000017404,RPL19
ENSG00000108370,ENSMUSG00000020599,RGS9
ENSG00000108375,ENSMUSG00000034177,RNF43
ENSG00000108379,ENSMUSG00000000125,WNT3
ENSG00000108384,ENSMUSG00000007646,RAD51C
ENSG00000108389,ENSMUSG00000018401,MTMR4
ENSG00000108405,ENSMUSG00000020787,P2RX1
ENSG00000108424,ENSMUSG00000001440,KPNB1
ENSG00000108510,ENSMUSG00000034297,MED13
ENSG00000108515,ENSMUSG00000060600,ENO3
ENSG00000108557,ENSMUSG00000062115,RAI1
ENSG00000108576,ENSMUSG00000020838,SLC6A4
ENSG00000108582,ENSMUSG00000020841,CPD
ENSG00000108591,ENSMUSG00000020537,DRG2
ENSG00000108679,ENSMUSG00000033880,LGALS3BP
ENSG00000108773,ENSMUSG00000020918,KAT2A
ENSG00000108798,ENSMUSG00000018381,ABI3
ENSG00000108821,ENSMUSG00000001506,COL1A1
ENSG00000108839,ENSMUSG00000000320,ALOX12
ENSG00000108846,ENSMUSG00000020865,ABCC3
ENSG00000108861,ENSMUSG00000003518,DUSP3
ENSG00000108924,ENSMUSG00000003949,HLF
ENSG00000108932,ENSMUSG00000041920,SLC16A6
ENSG00000108950,ENSMUSG00000020614,FAM20A
ENSG00000108960,ENSMUSG00000003948,MMD
ENSG00000108961,ENSMUSG00000032892,RANGRF
ENSG00000108963,ENSMUSG00000078789,DPH1
ENSG00000108984,ENSMUSG00000020623,MAP2K6
ENSG00000109046,ENSMUSG00000017677,WSB1
ENSG00000109089,ENSMUSG00000050910,CDR2L
ENSG00000109133,ENSMUSG00000037720,TMEM33
ENSG00000109270,ENSMUSG00000091512,LAMTOR3
ENSG00000109321,ENSMUSG00000029378,AREG
ENSG00000109332,ENSMUSG00000078578,UBE2D3
ENSG00000109339,ENSMUSG00000046709,MAPK10
ENSG00000109466,ENSMUSG00000031605,KLHL2
ENSG00000109680,ENSMUSG00000039178,TBC1D19
ENSG00000109684,ENSMUSG00000039315,CLNK
ENSG00000109736,ENSMUSG00000001082,MFSD10
ENSG00000109743,ENSMUSG00000029082,BST1
ENSG00000109771,ENSMUSG00000031637,LRP2BP
ENSG00000109790,ENSMUSG00000054920,KLHL5
ENSG00000109794,ENSMUSG00000070044,FAM149A
ENSG00000109854,ENSMUSG00000039745,HTATIP2
ENSG00000109943,ENSMUSG00000032021,CRTAM
ENSG00000110002,ENSMUSG00000023186,VWA5A
ENSG00000110013,ENSMUSG00000001942,SIAE
ENSG00000110042,ENSMUSG00000039982,DTX4
ENSG00000110047,ENSMUSG00000024772,EHD1
ENSG00000110060,ENSMUSG00000032103,PUS3
ENSG00000110077,ENSMUSG00000024679,MS4A6A
ENSG00000110079,ENSMUSG00000101389,MS4A4A
ENSG00000110080,ENSMUSG00000032038,ST3GAL4
ENSG00000110107,ENSMUSG00000024735,PRPF19
ENSG00000110108,ENSMUSG00000034659,TMEM109
ENSG00000110171,ENSMUSG00000036989,TRIM3
ENSG00000110448,ENSMUSG00000024669,CD5
ENSG00000110492,ENSMUSG00000027239,MDK
ENSG00000110651,ENSMUSG00000037706,CD81
ENSG00000110777,ENSMUSG00000032053,POU2AF1
ENSG00000110931,ENSMUSG00000029471,CAMKK2
ENSG00000110944,ENSMUSG00000025383,IL23A
ENSG00000110987,ENSMUSG00000029438,BCL7A
ENSG00000111052,ENSMUSG00000019906,LIN7A
ENSG00000111058,ENSMUSG00000035948,ACSS3
ENSG00000111087,ENSMUSG00000025407,GLI1
ENSG00000111144,ENSMUSG00000015889,LTA4H
ENSG00000111181,ENSMUSG00000030109,SLC6A12
ENSG00000111199,ENSMUSG00000014158,TRPV4
ENSG00000111203,ENSMUSG00000001518,ITFG2
ENSG00000111224,ENSMUSG00000037997,PARP11
ENSG00000111229,ENSMUSG00000029465,ARPC3
ENSG00000111249,ENSMUSG00000042589,CUX2
ENSG00000111261,ENSMUSG00000032718,MANSC1
ENSG00000111321,ENSMUSG00000030339,LTBR
ENSG00000111331,ENSMUSG00000032661,OAS3
ENSG00000111335,ENSMUSG00000032690,OAS2
ENSG00000111371,ENSMUSG00000023169,SLC38A1
ENSG00000111424,ENSMUSG00000022479,VDR
ENSG00000111537,ENSMUSG00000055170,IFNG
ENSG00000111641,ENSMUSG00000038279,NOP2
ENSG00000111644,ENSMUSG00000072770,ACRBP
ENSG00000111647,ENSMUSG00000019951,BLTP3B
ENSG00000111666,ENSMUSG00000060002,CHPT1
ENSG00000111674,ENSMUSG00000004267,ENO2
ENSG00000111676,ENSMUSG00000004263,ATN1
ENSG00000111678,ENSMUSG00000072772,C12orf57
ENSG00000111707,ENSMUSG00000066900,SUDS3
ENSG00000111728,ENSMUSG00000030283,ST8SIA1
ENSG00000111729,ENSMUSG00000030148,CLEC4A
ENSG00000111790,ENSMUSG00000040242,FGFR1OP2
ENSG00000111802,ENSMUSG00000035958,TDP2
ENSG00000111817,ENSMUSG00000039497,DSE
ENSG00000111859,ENSMUSG00000021365,NEDD9
ENSG00000111885,ENSMUSG00000003746,MAN1A1
ENSG00000111886,ENSMUSG00000023267,GABRR2
ENSG00000111897,ENSMUSG00000019877,SERINC1
ENSG00000111911,ENSMUSG00000019791,HINT3
ENSG00000111962,ENSMUSG00000047712,UST
ENSG00000112031,ENSMUSG00000019774,MTRF1L
ENSG00000112039,ENSMUSG00000007570,FANCE
ENSG00000112053,ENSMUSG00000036196,SLC26A8
ENSG00000112062,ENSMUSG00000053436,MAPK14
ENSG00000112077,ENSMUSG00000023926,RHAG
ENSG00000112182,ENSMUSG00000040270,BACH2
ENSG00000112195,ENSMUSG00000071068,TREML2
ENSG00000112212,ENSMUSG00000023995,TSPO2
ENSG00000112232,ENSMUSG00000026058,KHDRBS2
ENSG00000112290,ENSMUSG00000019831,WASF1
ENSG00000112293,ENSMUSG00000021340,GPLD1
ENSG00000112294,ENSMUSG00000035936,ALDH5A1
ENSG00000112299,ENSMUSG00000037440,VNN1
ENSG00000112320,ENSMUSG00000038248,SOBP
ENSG00000112335,ENSMUSG00000019804,SNX3
ENSG00000112343,ENSMUSG00000064140,TRIM38
ENSG00000112367,ENSMUSG00000038417,FIG4
ENSG00000112394,ENSMUSG00000019838,SLC16A10
ENSG00000112486,ENSMUSG00000040899,CCR6
ENSG00000112514,ENSMUSG00000024194,CUTA
ENSG00000112651,ENSMUSG00000002767,MRPL2
ENSG00000112655,ENSMUSG00000023972,PTK7
ENSG00000112667,ENSMUSG00000040658,DNPH1
ENSG00000112697,ENSMUSG00000032328,TMEM30A
ENSG00000112759,ENSMUSG00000023942,SLC29A1
ENSG00000112787,ENSMUSG00000043323,FBRSL1
ENSG00000112796,ENSMUSG00000023960,ENPP5
ENSG00000112877,ENSMUSG00000021572,CEP72
ENSG00000113088,ENSMUSG00000042385,GZMK
ENSG00000113140,ENSMUSG00000018593,SPARC
ENSG00000113263,ENSMUSG00000020395,ITK
ENSG00000113269,ENSMUSG00000020376,RNF130
ENSG00000113273,ENSMUSG00000042082,ARSB
ENSG00000113319,ENSMUSG00000021708,RASGRF2
ENSG00000113361,ENSMUSG00000039385,CDH6
ENSG00000113368,ENSMUSG00000024590,LMNB1
ENSG00000113369,ENSMUSG00000074794,ARRDC3
ENSG00000113389,ENSMUSG00000022206,NPR3
ENSG00000113645,ENSMUSG00000018849,WWC1
ENSG00000113732,ENSMUSG00000015575,ATP6V0E1
ENSG00000113742,ENSMUSG00000020300,CPEB4
ENSG00000113749,ENSMUSG00000034987,HRH2
ENSG00000113763,ENSMUSG00000025876,UNC5A
ENSG00000113790,ENSMUSG00000022853,EHHADH
ENSG00000113916,ENSMUSG00000022508,BCL6
ENSG00000114023,ENSMUSG00000003955,FAM162A
ENSG00000114127,ENSMUSG00000032410,XRN1
ENSG00000114209,ENSMUSG00000027835,PDCD10
ENSG00000114268,ENSMUSG00000025648,PFKFB4
ENSG00000114331,ENSMUSG00000049076,ACAP2
ENSG00000114388,ENSMUSG00000010057,NPRL2
ENSG00000114423,ENSMUSG00000022637,CBLB
ENSG00000114439,ENSMUSG00000022641,BBX
ENSG00000114450,ENSMUSG00000027669,GNB4
ENSG00000114491,ENSMUSG00000022814,UMPS
ENSG00000114541,ENSMUSG00000030064,FRMD4B
ENSG00000114554,ENSMUSG00000030084,PLXNA1
ENSG00000114631,ENSMUSG00000033152,PODXL2
ENSG00000114735,ENSMUSG00000032579,HEMK1
ENSG00000114739,ENSMUSG00000061393,ACVR2B
ENSG00000114767,ENSMUSG00000041506,RRP9
ENSG00000114779,ENSMUSG00000042073,ABHD14B
ENSG00000114784,ENSMUSG00000006941,EIF1B
ENSG00000114812,ENSMUSG00000032528,VIPR1
ENSG00000114923,ENSMUSG00000006576,SLC4A3
ENSG00000114948,ENSMUSG00000025964,ADAM23
ENSG00000114978,ENSMUSG00000043131,MOB1A
ENSG00000114993,ENSMUSG00000034930,RTKN
ENSG00000115073,ENSMUSG00000037351,ACTR1B
ENSG00000115084,ENSMUSG00000026342,SLC35F5
ENSG00000115085,ENSMUSG00000026117,ZAP70
ENSG00000115112,ENSMUSG00000026380,TFCP2L1
ENSG00000115138,ENSMUSG00000020660,POMC
ENSG00000115145,ENSMUSG00000055371,STAM2
ENSG00000115155,ENSMUSG00000062372,OTOF
ENSG00000115159,ENSMUSG00000026827,GPD2
ENSG00000115255,ENSMUSG00000035504,REEP6
ENSG00000115257,ENSMUSG00000020131,PCSK4
ENSG00000115267,ENSMUSG00000026896,IFIH1
ENSG00000115268,ENSMUSG00000063457,RPS15
ENSG00000115271,ENSMUSG00000026893,GCA
ENSG00000115290,ENSMUSG00000026888,GRB14
ENSG00000115306,ENSMUSG00000020315,SPTBN1
ENSG00000115310,ENSMUSG00000020458,RTN4
ENSG00000115318,ENSMUSG00000000693,LOXL3
ENSG00000115339,ENSMUSG00000026994,GALNT3
ENSG00000115365,ENSMUSG00000026000,LANCL1
ENSG00000115392,ENSMUSG00000004018,FANCL
ENSG00000115415,ENSMUSG00000026104,STAT1
ENSG00000115520,ENSMUSG00000025981,COQ10B
ENSG00000115526,ENSMUSG00000026080,CHST10
ENSG00000115561,ENSMUSG00000053119,CHMP3
ENSG00000115568,ENSMUSG00000026135,ZNF142
ENSG00000115590,ENSMUSG00000026073,IL1R2
ENSG00000115602,ENSMUSG00000026069,IL1RL1
ENSG00000115604,ENSMUSG00000026070,IL18R1
ENSG00000115607,ENSMUSG00000026068,IL18RAP
ENSG00000115641,ENSMUSG00000008136,FHL2
ENSG00000115687,ENSMUSG00000026274,PASK
ENSG00000115694,ENSMUSG00000026277,STK25
ENSG00000115718,ENSMUSG00000024386,PROC
ENSG00000115828,ENSMUSG00000024084,QPCT
ENSG00000115841,ENSMUSG00000036368,RMDN2
ENSG00000115884,ENSMUSG00000020592,SDC1
ENSG00000115919,ENSMUSG00000026866,KYNU
ENSG00000115947,ENSMUSG00000026761,ORC4
ENSG00000115956,ENSMUSG00000020120,PLEK
ENSG00000116014,ENSMUSG00000035773,KISS1R
ENSG00000116016,ENSMUSG00000024140,EPAS1
ENSG00000116032,ENSMUSG00000035745,GRIN3B
ENSG00000116044,ENSMUSG00000015839,NFE2L2
ENSG00000116147,ENSMUSG00000015829,TNR
ENSG00000116157,ENSMUSG00000028597,GPX7
ENSG00000116209,ENSMUSG00000028618,TMEM59
ENSG00000116329,ENSMUSG00000050511,OPRD1
ENSG00000116406,ENSMUSG00000043019,EDEM3
ENSG00000116489,ENSMUSG00000070372,CAPZA1
ENSG00000116514,ENSMUSG00000028793,RNF19B
ENSG00000116521,ENSMUSG00000028049,SCAMP3
ENSG00000116544,ENSMUSG00000042388,DLGAP3
ENSG00000116649,ENSMUSG00000006442,SRM
ENSG00000116661,ENSMUSG00000041556,FBXO2
ENSG00000116663,ENSMUSG00000055401,FBXO6
ENSG00000116668,ENSMUSG00000052748,SWT1
ENSG00000116678,ENSMUSG00000057722,LEPR
ENSG00000116679,ENSMUSG00000023150,IVNS1ABP
ENSG00000116701,ENSMUSG00000026480,NCF2
ENSG00000116711,ENSMUSG00000056220,PLA2G4A
ENSG00000116717,ENSMUSG00000036390,GADD45A
ENSG00000116761,ENSMUSG00000028179,CTH
ENSG00000116793,ENSMUSG00000058388,PHTF1
ENSG00000116824,ENSMUSG00000027863,CD2
ENSG00000116977,ENSMUSG00000057554,LGALS8
ENSG00000116983,ENSMUSG00000046093,HPCAL4
ENSG00000116991,ENSMUSG00000001995,SIPA1L2
ENSG00000117000,ENSMUSG00000049878,RLF
ENSG00000117020,ENSMUSG00000019699,AKT3
ENSG00000117090,ENSMUSG00000015316,SLAMF1
ENSG00000117115,ENSMUSG00000028927,PADI2
ENSG00000117151,ENSMUSG00000028189,CTBS
ENSG00000117215,ENSMUSG00000041202,PLA2G2D
ENSG00000117226,ENSMUSG00000040264,GBP3
ENSG00000117281,ENSMUSG00000038304,CD160
ENSG00000117298,ENSMUSG00000057530,ECE1
ENSG00000117318,ENSMUSG00000007872,ID3
ENSG00000117322,ENSMUSG00000026616,CR2
ENSG00000117335,ENSMUSG00000016493,CD46
ENSG00000117419,ENSMUSG00000033423,ERI3
ENSG00000117475,ENSMUSG00000026577,BLZF1
ENSG00000117480,ENSMUSG00000034171,FAAH
ENSG00000117560,ENSMUSG00000000817,FASLG
ENSG00000117586,ENSMUSG00000026700,TNFSF4
ENSG00000117602,ENSMUSG00000059713,RCAN3
ENSG00000117643,ENSMUSG00000037306,MAN1C1
ENSG00000117650,ENSMUSG00000026622,NEK2
ENSG00000117983,ENSMUSG00000066108,MUC5B
ENSG00000117984,ENSMUSG00000007891,CTSD
ENSG00000118113,ENSMUSG00000005800,MMP8
ENSG00000118137,ENSMUSG00000032083,APOA1
ENSG00000118217,ENSMUSG00000026663,ATF6
ENSG00000118242,ENSMUSG00000039395,MREG
ENSG00000118420,ENSMUSG00000032415,UBE3D
ENSG00000118473,ENSMUSG00000028524,SGIP1
ENSG00000118495,ENSMUSG00000019817,PLAGL1
ENSG00000118508,ENSMUSG00000019832,RAB32
ENSG00000118515,ENSMUSG00000019970,SGK1
ENSG00000118518,ENSMUSG00000038876,RNF146
ENSG00000118520,ENSMUSG00000019987,ARG1
ENSG00000118564,ENSMUSG00000039753,FBXL5
ENSG00000118855,ENSMUSG00000027775,MFSD1
ENSG00000118922,ENSMUSG00000072294,KLF12
ENSG00000118985,ENSMUSG00000001542,ELL2
ENSG00000119013,ENSMUSG00000026032,NDUFB3
ENSG00000119048,ENSMUSG00000020390,UBE2B
ENSG00000119121,ENSMUSG00000024727,TRPM6
ENSG00000119139,ENSMUSG00000024812,TJP2
ENSG00000119231,ENSMUSG00000022772,SENP5
ENSG00000119280,ENSMUSG00000031983,C1orf198
ENSG00000119326,ENSMUSG00000038816,CTNNAL1
ENSG00000119396,ENSMUSG00000026878,RAB14
ENSG00000119401,ENSMUSG00000051675,TRIM32
ENSG00000119403,ENSMUSG00000026873,PHF19
ENSG00000119514,ENSMUSG00000039774,GALNT12
ENSG00000119522,ENSMUSG00000035392,DENND1A
ENSG00000119535,ENSMUSG00000028859,CSF3R
ENSG00000119599,ENSMUSG00000021222,DCAF4
ENSG00000119640,ENSMUSG00000008822,ACYP1
ENSG00000119655,ENSMUSG00000021242,NPC2
ENSG00000119673,ENSMUSG00000021226,ACOT2
ENSG00000119699,ENSMUSG00000021253,TGFB3
ENSG00000119714,ENSMUSG00000047415,GPR68
ENSG00000119729,ENSMUSG00000024143,RHOQ
ENSG00000119820,ENSMUSG00000024072,YIPF4
ENSG00000119862,ENSMUSG00000042363,LGALSL
ENSG00000119866,ENSMUSG00000000861,BCL11A
ENSG00000119878,ENSMUSG00000024146,CRIPT
ENSG00000119915,ENSMUSG00000038754,ELOVL3
ENSG00000119922,ENSMUSG00000045932,IFIT2
ENSG00000119943,ENSMUSG00000060224,PYROXD2
ENSG00000119950,ENSMUSG00000025025,MXI1
ENSG00000120053,ENSMUSG00000025190,GOT1
ENSG00000120057,ENSMUSG00000018822,SFRP5
ENSG00000120063,ENSMUSG00000020611,GNA13
ENSG00000120093,ENSMUSG00000048763,HOXB3
ENSG00000120129,ENSMUSG00000024190,DUSP1
ENSG00000120217,ENSMUSG00000016496,CD274
ENSG00000120278,ENSMUSG00000040624,PLEKHG1
ENSG00000120279,ENSMUSG00000046916,MYCT1
ENSG00000120440,ENSMUSG00000079722,TTLL2
ENSG00000120594,ENSMUSG00000026748,PLXDC2
ENSG00000120709,ENSMUSG00000034300,FAM53C
ENSG00000120868,ENSMUSG00000019979,APAF1
ENSG00000120885,ENSMUSG00000022037,CLU
ENSG00000120896,ENSMUSG00000022091,SORBS3
ENSG00000120903,ENSMUSG00000022041,CHRNA2
ENSG00000120910,ENSMUSG00000022092,PPP3CC
ENSG00000120915,ENSMUSG00000022040,EPHX2
ENSG00000120942,ENSMUSG00000047719,UBIAD1
ENSG00000120992,ENSMUSG00000025903,LYPLA1
ENSG00000121060,ENSMUSG00000000275,TRIM25
ENSG00000121236,ENSMUSG00000072244,TRIM6
ENSG00000121297,ENSMUSG00000021217,TSHZ3
ENSG00000121310,ENSMUSG00000028601,ECHDC2
ENSG00000121316,ENSMUSG00000030214,PLBD1
ENSG00000121380,ENSMUSG00000030200,BCL2L14
ENSG00000121410,ENSMUSG00000022347,A1BG
ENSG00000121413,ENSMUSG00000070822,ZSCAN18
ENSG00000121594,ENSMUSG00000075122,CD80
ENSG00000121690,ENSMUSG00000027173,DEPDC7
